-DOCSTART- -X- O O
A	O
senhora	O
usa	O
1	B-DOSE
comprimido	I-DOSE
de	O
Tractera	B-MED
de	O
10ml	B-CONCEN
de	B-TEMPO
6	I-TEMPO
em	I-TEMPO
6	I-TEMPO
horas	I-TEMPO
.	O
Ele	O
informou	O
que	O
sente	O
dores	O
nas	O
costas	O
.	O

Ela	O
faz	O
uso	O
continuamente	O
de	O
2	B-DOSE
capsulas	I-DOSE
de	O
Cebrilin	B-MED
de	O
20ml	B-CONCEN
de	B-TEMPO
8	I-TEMPO
em	I-TEMPO
8	I-TEMPO
horas	I-TEMPO
.	O
A	O
senhora	O
relata	O
que	O
sentir	O
fortes	O
dores	O
nas	O
pernas	O
.	O

A	O
paciente	O
usa	O
o	O
medicamento	O
3	B-DOSE
comprimido	I-DOSE
de	O
Cebrilin	B-DOSE
de	O
200	B-CONCEN
ml	I-CONCEN
de	O
12	B-TEMPO
em	I-TEMPO
12	I-TEMPO
horas	I-TEMPO
.	O
O	O
paciente	O
relatou	O
que	O
sentir	O
fortes	O
dores	O
nas	O
pernas	O
.	O

A	O
senhora	O
usa	O
o	O
medicamento	O
3	B-DOSE
comprimido	I-DOSE
de	O
Osteotec	B-MED
de	O
20ml	B-CONCEN
2	B-DOSE
por	I-DOSE
dia	I-DOSE
.	O
A	O
paciente	O
relatou	O
que	O
dor	O
de	O
cabeça	O
.	O

O	O
paciente	O
usa	O
o	O
medicamento	O
1	B-DOSE
capsula	I-DOSE
do	O
medicamento	O
fosfato	B-MED
de	I-MED
fludarabina	I-MED
de	O
600	B-CONCEN
mg	I-CONCEN
2	B-DOSE
vezes	I-DOSE
ao	I-DOSE
dia	I-DOSE
.	O
O	O
Sr.	O
relatou	O
que	O
sente	O
dores	O
nas	O
costas	O
.	O

A	O
senhora	O
toma	O
1	B-DOSE
capsula	I-DOSE
do	O
medicamento	O
Previdor	B-MED
de	O
10ml	B-CONCEN
.	O
4	B-DOSE
por	I-DOSE
dia	I-DOSE
.	O
A	O
senhora	O
diz	O
que	O
sente	O
dores	O
nas	O
costas	O
.	O

O	O
paciente	O
usa	O
2	B-DOSE
Cápsulas	I-DOSE
de	O
Deeplin	B-MED
de	O
25MG	B-CONCEN
1	B-DOSE
por	I-DOSE
dia	I-DOSE
.	O
O	O
Sr.	O
relatou	O
que	O
sente	O
nauseas	O
.	O

O	O
Sr.	O
toma	O
3	B-DOSE
comprimido	I-DOSE
de	O
